"";"squads_player_id";"squads_tournament_id";"squads_team_id";"squads_shirt_number";"squads_position_name";"players_family_name";"players_given_name";"players_birth_date";"players_female";"players_goal_keeper";"players_defender";"players_midfielder";"players_forward"
"948";"P-07013";"WC-2018";"T-37";20;"midfielder";"Hallfreðsson";"Emil";"1984-06-29";0;0;0;1;0
"949";"P-07024";"WC-1938";"T-53";0;"forward";"Brustad";"Arne";"1912-04-14";0;0;0;0;1
"950";"P-07028";"WC-1954";"T-36";8;"forward";"Kocsis";"Sándor";"1929-09-21";0;0;0;0;1
"951";"P-07031";"WC-1998";"T-03";18;"forward";"Balbo";"Abel";"1966-06-01";0;0;0;0;1
"952";"P-07031";"WC-1994";"T-03";19;"forward";"Balbo";"Abel";"1966-06-01";0;0;0;0;1
"953";"P-07031";"WC-1990";"T-03";3;"forward";"Balbo";"Abel";"1966-06-01";0;0;0;0;1
"954";"P-07038";"WC-2014";"T-28";22;"goal keeper";"Forster";"Fraser";"1988-03-17";0;1;0;0;0
"955";"P-07046";"WC-1966";"T-10";3;"defender";"Vutsov";"Ivan";"1939-12-14";0;0;1;0;0
"956";"P-07053";"WC-2019";"T-74";2;"defender";"Andersson";"Jonna";"1993-01-02";1;0;1;0;0
"957";"P-07056";"WC-1966";"T-09";1;"goal keeper";"Gilmar";"not applicable";"1930-08-22";0;1;0;0;0
"958";"P-07056";"WC-1958";"T-09";3;"goal keeper";"Gilmar";"not applicable";"1930-08-22";0;1;0;0;0
"959";"P-07056";"WC-1962";"T-09";1;"goal keeper";"Gilmar";"not applicable";"1930-08-22";0;1;0;0;0
"960";"P-07076";"WC-2014";"T-42";14;"midfielder";"Diomandé";"Ismaël";"1992-08-28";0;0;0;1;0
"961";"P-07088";"WC-2006";"T-57";9;"forward";"Żurawski";"Maciej";"1976-09-12";0;0;0;0;1
"962";"P-07088";"WC-2002";"T-57";19;"forward";"Żurawski";"Maciej";"1976-09-12";0;0;0;0;1
"963";"P-07089";"WC-2022";"T-30";17;"defender";"Saliba";"William";"2001-03-24";0;0;1;0;0
"964";"P-07090";"WC-1954";"T-46";4;"defender";"Martínez";"Saturnino";"1928-01-01";0;0;1;0;0
"965";"P-07093";"WC-1954";"T-41";15;"midfielder";"Mari";"Giacomo";"1924-10-17";0;0;0;1;0
"966";"P-07093";"WC-1950";"T-41";0;"midfielder";"Mari";"Giacomo";"1924-10-17";0;0;0;1;0
"967";"P-07122";"WC-1930";"T-13";0;"defender";"Morales";"Víctor";"1905-05-10";0;0;1;0;0
"968";"P-07131";"WC-1938";"T-41";0;"midfielder";"Genta";"Mario";"1912-03-01";0;0;0;1;0
"969";"P-07137";"WC-2022";"T-85";25;"midfielder";"Colwill";"Rubin";"2002-04-27";0;0;0;1;0
"970";"P-07140";"WC-1986";"T-22";14;"forward";"Simonsen";"Allan";"1952-12-15";0;0;0;0;1
"971";"P-07141";"WC-1974";"T-86";21;"goal keeper";"Nigbur";"Norbert";"1948-05-08";0;1;0;0;0
"972";"P-07148";"WC-2006";"T-74";22;"forward";"Rosenberg";"Markus";"1982-09-27";0;0;0;0;1
"973";"P-07153";"WC-2018";"T-30";8;"forward";"Lemar";"Thomas";"1995-11-12";0;0;0;0;1
"974";"P-07167";"WC-1954";"T-41";20;"midfielder";"Gratton";"Guido";"1932-09-23";0;0;0;1;0
"975";"P-07169";"WC-1991";"T-49";4;"defender";"Pedruco";"Lynley";"1960-10-11";1;0;1;0;0
"976";"P-07171";"WC-1986";"T-86";1;"goal keeper";"Schumacher";"Harald";"1954-03-06";0;1;0;0;0
"977";"P-07171";"WC-1982";"T-86";1;"goal keeper";"Schumacher";"Harald";"1954-03-06";0;1;0;0;0
"978";"P-07180";"WC-2022";"T-75";9;"forward";"Seferovic";"Haris";"1992-02-22";0;0;0;0;1
"979";"P-07180";"WC-2014";"T-75";9;"forward";"Seferovic";"Haris";"1992-02-22";0;0;0;0;1
"980";"P-07180";"WC-2018";"T-75";9;"forward";"Seferovic";"Haris";"1992-02-22";0;0;0;0;1
"981";"P-07188";"WC-1974";"T-09";17;"midfielder";"Carpegiani";"not applicable";"1949-02-07";0;0;0;1;0
"982";"P-07203";"WC-1966";"T-36";20;"forward";"Nagy";"Antal";"1944-05-16";0;0;0;0;1
"983";"P-07222";"WC-2003";"T-71";13;"midfielder";"Kim";"Yoo-jin";"1981-09-26";1;0;0;1;0
"984";"P-07223";"WC-1990";"T-26";16;"midfielder";"Tolba";"Magdy";"1964-02-24";0;0;0;1;0
"985";"P-07233";"WC-2022";"T-71";15;"defender";"Moon-hwan";"Kim";"1995-08-01";0;0;1;0;0
"986";"P-07247";"WC-1999";"T-51";5;"defender";"Kim";"Sun-hye";"1977-01-01";1;0;1;0;0
"987";"P-07254";"WC-1938";"T-41";0;"midfielder";"Donati";"Aldo";"1910-09-29";0;0;0;1;0
"988";"P-07259";"WC-2022";"T-71";19;"defender";"Kim";"Young-gwon";"1990-02-27";0;0;1;0;0
"989";"P-07259";"WC-2014";"T-71";5;"defender";"Kim";"Young-gwon";"1990-02-27";0;0;1;0;0
"990";"P-07259";"WC-2018";"T-71";19;"defender";"Kim";"Young-gwon";"1990-02-27";0;0;1;0;0
"991";"P-07282";"WC-1958";"T-64";16;"forward";"Murray";"Jimmy";"1933-02-04";0;0;0;0;1
"992";"P-07284";"WC-1990";"T-05";13;"forward";"Ogris";"Andreas";"1964-10-07";0;0;0;0;1
"993";"P-07302";"WC-2006";"T-75";21;"goal keeper";"Coltorti";"Fabio";"1980-12-03";0;1;0;0;0
"994";"P-07304";"WC-2022";"T-22";16;"goal keeper";"Christensen";"Oliver";"1999-03-22";0;1;0;0;0
